distance,x,y,z,U_x,U_y,U_z,k,omega
0.7245,2.5,0.4745,5.89806e-17,0.920853,-0.0269104,-1.55829e-22,9.34429e-05,0.249225
0.72525,2.5,0.47525,5.89806e-17,0.920945,-0.0269031,-1.55829e-22,9.19996e-05,0.248047
0.726,2.5,0.476,5.72459e-17,0.921037,-0.0268958,-1.55829e-22,9.05563e-05,0.246868
0.72675,2.5,0.47675,5.72459e-17,0.92113,-0.0268885,-1.55829e-22,8.9113e-05,0.24569
0.7275,2.5,0.4775,5.72459e-17,0.921222,-0.0268812,-1.55829e-22,8.76698e-05,0.244512
0.72825,2.5,0.47825,5.89806e-17,0.921315,-0.0268739,-1.55829e-22,8.62265e-05,0.243333
0.729,2.5,0.479,5.72459e-17,0.921407,-0.0268665,-1.55829e-22,8.47832e-05,0.242155
0.72975,2.5,0.47975,5.89806e-17,0.921499,-0.0268592,-1.55829e-22,8.334e-05,0.240977
0.7305,2.5,0.4805,5.89806e-17,0.921592,-0.0268519,-1.55829e-22,8.18967e-05,0.239799
0.73125,2.5,0.48125,5.89806e-17,0.921684,-0.0268446,-1.55829e-22,8.04534e-05,0.23862
0.732,2.5,0.482,5.72459e-17,0.921777,-0.0268373,-1.55829e-22,7.90102e-05,0.237442
0.73275,2.5,0.48275,5.89806e-17,0.921869,-0.02683,-1.55829e-22,7.75669e-05,0.236264
0.7335,2.5,0.4835,5.89806e-17,0.921961,-0.0268227,-1.55829e-22,7.61236e-05,0.235085
0.73425,2.5,0.48425,5.89806e-17,0.922054,-0.0268154,-1.55829e-22,7.46803e-05,0.233907
0.735,2.5,0.485,5.55112e-17,0.922146,-0.0268081,-1.55829e-22,7.32371e-05,0.232729
0.73575,2.5,0.48575,5.55112e-17,0.922238,-0.0268008,-1.55829e-22,7.17938e-05,0.23155
0.7365,2.5,0.4865,5.55112e-17,0.922331,-0.0267935,-1.55829e-22,7.03505e-05,0.230372
0.73725,2.5,0.48725,5.55112e-17,0.922423,-0.0267862,-1.55829e-22,6.89073e-05,0.229194
0.738,2.5,0.488,5.47522e-17,0.922512,-0.0267796,-5.30791e-23,6.75248e-05,0.228067
0.73875,2.5,0.48875,5.33427e-17,0.9226,-0.0267731,7.25735e-23,6.6156e-05,0.226952
0.7395,2.5,0.4895,5.37764e-17,0.922687,-0.0267666,1.98226e-22,6.47872e-05,0.225838
0.74025,2.5,0.49025,5.37764e-17,0.922775,-0.02676,3.23879e-22,6.34183e-05,0.224723
0.741,2.5,0.491,5.07407e-17,0.922863,-0.0267535,4.49531e-22,6.20495e-05,0.223608
